id,condition_id,name,effectiveness,average_effectiveness,average_easeofuse,average_satisfaction,total_reviews
1,1,ASTRAGALUS,Insufficient Evidence,4.22,4.41,4.32,37
2,2,CAPSICUM,Insufficient Evidence,4.03,4.11,4.03,37
3,2,CISSUS QUADRANGULARIS,Insufficient Evidence,4.6,4.7,4.44,43
4,2,GINGER,Insufficient Evidence,4.36,4.53,4.51,75
5,2,GLUCOSAMINE SULFATE,Insufficient Evidence,3.92,4.44,3.95,115
6,2,HYALURONIC ACID,Insufficient Evidence,4.19,4.5,4.26,219
7,2,INDIAN FRANKINCENSE,Insufficient Evidence,4.32,4.68,4.5,28
8,2,MSM (METHYLSULFONYLMETHANE),Insufficient Evidence,4.45,4.62,4.46,203
9,2,TURMERIC,Insufficient Evidence,4.03,4.34,4.07,401
10,2,WILLOW BARK,Insufficient Evidence,3.93,4.41,4.17,29
11,3,HORSERADISH,Insufficient Evidence,4.33,4.11,4.22,9
12,3,VITAMIN C (ASCORBIC ACID),Possibly Ineffective,4.33,4.4,4.4,52
13,4,ANISE,Insufficient Evidence,4.83,5.0,4.5,6
14,4,ASTRAGALUS,Insufficient Evidence,4.22,4.41,4.32,37
15,4,BETA-CAROTENE,Insufficient Evidence,4.14,4.14,4.14,7
16,4,BLACK SEED,Possibly Effective,3.88,4.19,3.94,69
17,4,BORAGE,Insufficient Evidence,3.75,4.36,3.89,28
18,4,BUTTERBUR,Insufficient Evidence,4.27,4.8,4.32,71
19,4,CAFFEINE,Possibly Effective,3.91,4.38,3.6,45
20,4,CARAWAY,Insufficient Evidence,4.33,5.0,4.83,6
21,4,CHOLINE,Possibly Effective,4.27,4.47,4.0,15
22,4,COENZYME Q10,Insufficient Evidence,3.83,4.46,3.96,184
23,4,COLEUS,Possibly Effective,2.31,3.55,2.38,64
24,4,CONJUGATED LINOLEIC ACID,Insufficient Evidence,3.42,4.05,3.52,77
25,4,CORDYCEPS,Insufficient Evidence,3.84,4.19,3.9,31
26,4,EPA (EICOSAPENTAENOIC ACID),Possibly Ineffective,4.0,4.57,3.57,7
27,4,EUCALYPTUS,Insufficient Evidence,4.52,4.39,4.39,23
28,4,EVENING PRIMROSE OIL,Possibly Ineffective,4.28,4.68,4.37,107
29,4,FERMENTED MILK,Possibly Ineffective,5.0,5.0,5.0,2
30,4,FISH OIL,Insufficient Evidence,3.48,4.12,3.58,199
31,4,GALACTO-OLIGOSACCHARIDES,Possibly Ineffective,0.0,0.0,0.0,0
32,4,GINKGO,Insufficient Evidence,3.6,4.24,3.63,70
33,4,GRAPEFRUIT,Insufficient Evidence,4.05,4.0,4.42,19
34,4,INDIAN FRANKINCENSE,Insufficient Evidence,4.32,4.68,4.5,28
35,4,KIWI,Insufficient Evidence,3.05,3.09,4.0,22
36,4,MAGNESIUM,Possibly Effective,4.05,4.38,4.06,284
37,4,MARITIME PINE,Possibly Effective,4.29,4.52,4.32,79
38,4,MARJORAM,Insufficient Evidence,4.8,5.0,5.0,5
39,4,MORINGA,Insufficient Evidence,4.11,4.29,4.13,140
40,4,N-ACETYL CYSTEINE,Insufficient Evidence,4.36,4.66,4.44,94
41,4,NEW ZEALAND GREEN-LIPPED MUSSEL,Insufficient Evidence,4.2,4.61,4.38,56
42,4,PERILLA,Insufficient Evidence,2.5,5.0,4.0,2
43,4,PICRORHIZA,Possibly Ineffective,4.0,5.0,5.0,1
44,4,PYRIDOXINE (VITAMIN B6),Insufficient Evidence,3.6,4.09,3.74,35
45,4,SAFFRON,Insufficient Evidence,3.79,4.21,3.72,29
46,4,SELENIUM,Possibly Ineffective,3.64,4.32,3.64,22
47,4,SOY,Insufficient Evidence,3.64,4.05,3.61,44
48,4,SWEET ORANGE,Insufficient Evidence,1.5,2.5,3.0,2
49,4,THYMUS EXTRACT,Possibly Effective,4.67,5.0,4.89,9
50,4,TOMATO,Insufficient Evidence,5.0,5.0,4.0,1
51,4,TRANSFER FACTOR,Insufficient Evidence,4.0,4.4,4.13,15
52,4,TYLOPHORA,Insufficient Evidence,4.5,4.0,5.0,2
53,4,UMCKALOABO,Insufficient Evidence,4.25,4.4,4.4,20
54,4,VITAMIN C (ASCORBIC ACID),Possibly Ineffective,4.33,4.4,4.4,52
55,4,VITAMIN D,Insufficient Evidence,3.25,4.05,3.3,336
56,4,VITAMIN E,Insufficient Evidence,3.62,4.26,3.64,47
57,4,WHEY PROTEIN,Insufficient Evidence,3.35,3.67,3.38,40
58,4,YOGURT,Possibly Ineffective,4.33,4.6,4.5,30
59,4,ZINC,Insufficient Evidence,3.6,4.16,3.42,55
60,5,BETA-CAROTENE,Possibly Effective,4.14,4.14,4.14,7
61,5,VITAMIN C (ASCORBIC ACID),Insufficient Evidence,4.33,4.4,4.4,52
62,5,WHEY PROTEIN,Insufficient Evidence,3.35,3.67,3.38,40
