id,condition_id,name,effectiveness,average_effectiveness,average_easeofuse,average_satisfaction,total_reviews
1,1,L-CARNITINE,Insufficient Evidence,3.48,4.05,3.66,56
2,1,SULBUTIAMINE,Insufficient Evidence,3.0,3.0,2.5,2
3,2,5-HTP,Insufficient Evidence,3.93,4.4,3.85,379
4,2,ASHWAGANDHA,Insufficient Evidence,3.93,4.37,3.91,134
5,2,BACOPA,Insufficient Evidence,4.05,4.17,3.93,42
6,2,BEER,Insufficient Evidence,4.0,4.67,3.67,18
7,2,BERGAMOT,Insufficient Evidence,2.82,3.65,3.18,17
8,2,CALIFORNIA POPPY,Insufficient Evidence,3.85,4.09,3.88,34
9,2,ECHINACEA,Insufficient Evidence,4.2,4.6,4.24,84
10,2,GERMAN CHAMOMILE,Possibly Effective,3.69,4.08,4.15,13
11,2,GINKGO,Possibly Effective,3.6,4.24,3.63,70
12,2,GUARANA,Insufficient Evidence,4.07,4.4,4.0,15
13,2,HAWTHORN,Insufficient Evidence,4.34,4.56,4.34,61
14,2,HOLY BASIL,Insufficient Evidence,4.73,4.93,4.78,67
15,2,INDIAN SNAKEROOT,Insufficient Evidence,4.29,4.14,4.0,7
16,2,INOSITOL,Possibly Ineffective,4.05,4.4,4.05,58
17,2,KAVA,Possibly Effective,4.25,4.38,4.19,52
18,2,LAVENDER,Possibly Effective,4.27,4.81,4.35,26
19,2,LEMON BALM,Possibly Effective,4.02,4.17,4.06,48
20,2,MAGNESIUM,Insufficient Evidence,4.05,4.38,4.06,284
21,2,MAGNOLIA,Insufficient Evidence,3.63,4.13,3.13,16
22,2,MOTHERWORT,Insufficient Evidence,4.57,4.71,4.86,7
23,2,PASSIONFLOWER,Possibly Effective,3.7,4.29,3.76,66
24,2,SKULLCAP,Insufficient Evidence,3.81,4.19,4.0,21
25,2,ST. JOHN'S WORT,Insufficient Evidence,4.1,4.47,4.03,143
26,2,THEANINE,Insufficient Evidence,4.22,4.51,4.19,157
27,2,VALERIAN,Insufficient Evidence,3.87,4.48,3.83,142
28,2,WINE,Insufficient Evidence,3.55,3.82,4.0,11
29,2,YOHIMBE,Insufficient Evidence,3.13,3.47,2.48,128
30,3,GALPHIMIA GLAUCA,Insufficient Evidence,0.0,0.0,0.0,0
31,3,RHODIOLA,Insufficient Evidence,4.2,4.62,4.06,97
32,4,BITTER ORANGE,Insufficient Evidence,2.1,2.4,2.3,10
33,4,LAVENDER,Insufficient Evidence,4.27,4.81,4.35,26
34,4,MELATONIN,Possibly Effective,3.82,4.41,3.62,457
35,4,PASSIONFLOWER,Possibly Effective,3.7,4.29,3.76,66
36,5,FISH OIL,Possibly Effective,3.48,4.12,3.58,199
