id,condition_id,name,effectiveness,average_effectiveness,average_easeofuse,average_satisfaction,total_reviews
1,1,5-HTP,Insufficient Evidence,3.93,4.4,3.85,379
2,1,ACETYL-L-CARNITINE,Insufficient Evidence,3.68,4.34,3.66,71
3,1,ALPHA HYDROXY ACIDS,Possibly Effective,4.0,4.23,4.15,13
4,1,ASCORBIGEN,Insufficient Evidence,5.0,5.0,5.0,2
5,1,BROCCOLI,Insufficient Evidence,4.67,4.67,4.33,6
6,1,CAPSICUM,Possibly Effective,4.03,4.11,4.03,37
7,1,CARROT,Insufficient Evidence,5.0,5.0,5.0,1
8,1,CHLORELLA,Insufficient Evidence,3.59,3.91,3.6,93
9,1,COENZYME Q10,Possibly Effective,3.83,4.46,3.96,184
10,1,CREATINE,Insufficient Evidence,3.92,4.17,3.67,40
11,1,DHEA,Insufficient Evidence,3.67,4.35,3.59,184
12,1,GAMMA-HYDROXYBUTYRATE,Possibly Effective,3.57,3.36,3.71,14
13,1,GINKGO,Insufficient Evidence,3.6,4.24,3.63,70
14,1,MAGNESIUM,Possibly Effective,4.05,4.38,4.06,284
15,1,MALIC ACID,Insufficient Evidence,0.0,0.0,0.0,0
16,1,MELATONIN,Insufficient Evidence,3.82,4.41,3.62,457
17,1,PANAX GINSENG,Insufficient Evidence,4.34,4.6,4.23,35
18,1,RIBOSE,Insufficient Evidence,4.07,4.46,4.18,111
19,1,ROSEMARY,Insufficient Evidence,3.1,3.4,3.1,10
20,1,SAMe,Possibly Effective,4.07,4.38,4.02,249
21,1,SOUR CHERRY,Insufficient Evidence,4.59,4.59,4.31,29
22,1,SOY,Possibly Ineffective,3.64,4.05,3.61,44
23,1,VITAMIN D,Insufficient Evidence,3.25,4.05,3.3,336
24,2,ACETYL-L-CARNITINE,Possibly Effective,3.68,4.34,3.66,71
25,2,L-CARNITINE,Insufficient Evidence,3.48,4.05,3.66,56
26,3,AMERICAN GINSENG,Insufficient Evidence,3.38,3.75,3.75,8
27,3,L-CARNITINE,Insufficient Evidence,3.48,4.05,3.66,56
28,3,PANAX GINSENG,Insufficient Evidence,4.34,4.6,4.23,35
29,3,REISHI MUSHROOM,Insufficient Evidence,4.45,4.55,4.36,85
30,3,ROYAL JELLY,Insufficient Evidence,3.89,4.22,3.89,36
31,4,L-CARNITINE,Insufficient Evidence,3.48,4.05,3.66,56
32,5,ASHWAGANDHA,Insufficient Evidence,3.93,4.37,3.91,134
33,5,ASTRAGALUS,Insufficient Evidence,4.22,4.41,4.32,37
34,5,COENZYME Q10,Possibly Ineffective,3.83,4.46,3.96,184
35,5,GUARANA,Insufficient Evidence,4.07,4.4,4.0,15
